Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,State,City,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-2022959,2023-10-12,2023-10-13,First Class,CU-10582,David Rodriguez,Corporate,Central,Texas,Houston,Furniture,Furnishings,135.84,1,0.3,-61.8
ORD-2025376,2022-01-21,2022-01-22,First Class,CU-10769,Robert Martinez,Corporate,East,New York,New York City,Technology,Accessories,1173.01,7,0.15,23.69
ORD-2024065,2024-11-28,2024-12-04,Standard Class,CU-10476,Mary Martinez,Consumer,West,Arizona,Phoenix,Technology,Phones,2623.97,4,0.3,-242.13
ORD-2024010,2022-03-27,2022-04-02,Standard Class,CU-10043,Sandra Martinez,Corporate,Central,Illinois,Chicago,Office Supplies,Art,54.84,3,0.0,21.05
ORD-2022102,2022-11-29,2022-11-29,,CU-10216,Amy Miller,Corporate,South,Georgia,Atlanta,Technology,Accessories,163.15,2,0.2,-7.61
ORD-2022941,2024-09-24,2024-09-28,Second Class,CU-10843,Ashley Lopez,Consumer,West,Arizona,Phoenix,Office Supplies,Binders,15.14,5,0.15,1.67
ORD-2023647,2024-07-23,2024-07-29,Standard Class,CU-10327,Laura Rodriguez,Consumer,Central,Texas,Houston,Technology,Machines,379.09,1,0.0,98.42
ORD-2026271,2023-08-15,2023-08-19,Standard Class,CU-10721,Michael Lopez,Consumer,West,Arizona,Phoenix,Technology,Machines,4386.15,3,,577.98
ORD-2025484,2024-03-07,2024-03-12,Standard Class,CU-10783,Patricia Davis,Consumer,West,Washington,Seattle,Office Supplies,Supplies,95.1,1,0.3,-1.56
ORD-2026105,2022-06-04,2022-06-07,Standard Class,CU-10024,David Thomas,Consumer,South,Tennessee,Nashville,Office Supplies,Paper,18.02,1,0.15,2.86
ORD-2024105,2024-03-22,2024-03-23,First Class,CU-10566,Laura Wilson,Corporate,East,New York,New York City,Office Supplies,Storage,40.31,1,0.2,2.89
ORD-2023562,2024-11-05,2024-11-10,Standard Class,CU-10110,Patricia Jackson,Corporate,South,Florida,Miami,Technology,Phones,1246.65,3,0.3,-209.14
ORD-2025466,2023-12-09,2023-12-12,Standard Class,CU-10552,Barbara Lopez,Corporate,Central,Ohio,Columbus,Office Supplies,Fasteners,59.77,4,0.3,3.71
ORD-2025597,2024-11-02,2024-11-02,Same Day,CU-10098,Jason Miller,Consumer,East,New York,Buffalo,Office Supplies,Labels,49.13,4,0.1,16.18
ORD-2024213,2023-08-21,2023-08-22,First Class,CU-10337,David Smith,Consumer,West,California,San Francisco,Office Supplies,Supplies,79.8,1,0.0,26.88
ORD-2024550,2023-10-27,2023-10-29,Second Class,CU-10351,Elizabeth Thomas,Consumer,West,Washington,Seattle,Office Supplies,Binders,47.89,1,0.1,8.78
ORD-2024183,2022-08-10,2022-08-11,First Class,CU-10384,Ashley Jackson,Home Office,South,Florida,Miami,Technology,Machines,674.06,1,0.15,-0.49
ORD-2026243,2023-09-20,2023-09-23,Standard Class,CU-10719,Mary Williams,Home Office,East,Massachusetts,Boston,Technology,Accessories,976.77,4,0.15,22.45
ORD-2025293,2023-09-02,2023-09-06,Standard Class,CU-10739,Nancy Lopez,Consumer,Central,Illinois,Chicago,Office Supplies,Labels,17.64,3,0.0,4.97
ORD-2023854,2024-09-27,2024-09-29,Second Class,CU-10074,David Moore,Home Office,South,Florida,Miami,Furniture,Chairs,1374.3,4,0.3,-525.29
ORD-2024969,2022-09-28,2022-10-02,Second Class,CU-10298,Sandra Moore,Consumer,West,California,Los Angeles,Office Supplies,Binders,84.7,2,0.2,7.16
ORD-2022364,2023-12-27,2023-12-31,Second Class,CU-10071,Mary Jackson,Corporate,Central,Michigan,Detroit,Office Supplies,Binders,126.96,4,0.0,33.75
ORD-2025756,2022-11-27,2022-12-04,Standard Class,CU-10592,Steven Miller,Corporate,Central,Illinois,Chicago,Furniture,Tables,8325.38,7,0.5,-6392.88
ORD-2025460,2023-07-07,2023-07-08,First Class,CU-10672,Ashley Moore,Consumer,Central,Michigan,Detroit,Furniture,Chairs,1180.11,3,0.0,329.75
ORD-2022763,2022-08-05,2022-08-08,Second Class,CU-10562,Jason Miller,Consumer,West,California,San Francisco,Technology,Accessories,131.73,2,0.1,16.26
ORD-2024676,2023-08-06,2023-08-08,Second Class,CU-10047,John Garcia,Corporate,South,Florida,Miami,Furniture,Furnishings,37.16,1,0.0,5.72
ORD-2025035,2024-03-16,2024-03-20,Second Class,CU-10102,Nancy Lee,Corporate,East,Massachusetts,Boston,Office Supplies,Labels,5.18,2,0.0,2.2
ORD-2023785,2024-09-19,2024-09-25,Standard Class,CU-10271,Linda Davis,Home Office,Central,Texas,Houston,Furniture,Bookcases,1871.5,4,0.0,230.75
ORD-2025532,2023-08-08,2023-08-13,Standard Class,CU-10336,Amy Johnson,Corporate,East,Pennsylvania,Philadelphia,Furniture,Chairs,1126.07,3,0.15,-71.1
ORD-2025096,2022-05-18,2022-05-24,Standard Class,CU-10462,Mary Martinez,Home Office,West,California,Los Angeles,Office Supplies,Fasteners,4.08,2,0.0,1.46
ORD-2026474,2023-09-06,2023-09-09,Second Class,CU-10801,Mary Wilson,Home Office,South,Tennessee,Nashville,Furniture,Tables,826.77,1,0.15,-123.13
ORD-2024124,2023-03-24,2023-03-28,Second Class,CU-10073,Ashley Davis,Corporate,East,Massachusetts,Boston,Office Supplies,Supplies,61.03,2,0.15,9.34
ORD-2024805,2022-11-17,2022-11-17,Same Day,CU-10196,David Rodriguez,Consumer,West,Arizona,Phoenix,Technology,Copiers,1950.78,1,0.0,453.64
ORD-2023519,2022-10-13,2022-10-17,Standard Class,CU-10682,Karen Smith,Consumer,East,Pennsylvania,Philadelphia,Technology,Phones,1002.83,5,0.0,267.25
ORD-2022062,2023-11-10,2023-11-14,Second Class,CU-10449,Sandra Anderson,Consumer,East,Massachusetts,Boston,Technology,Accessories,549.16,2,0.0,143.71
ORD-2023213,2023-04-03,2023-04-07,Standard Class,CU-10674,Ashley Brown,Consumer,West,California,Los Angeles,Office Supplies,Paper,43.05,3,0.2,4.36
ORD-2025245,2023-11-05,2023-11-11,Standard Class,CU-10128,Barbara Brown,Corporate,West,Washington,Seattle,Technology,Machines,3987.04,2,0.0,1104.4
ORD-2023787,2024-02-10,2024-02-17,Standard Class,CU-10834,David Davis,Corporate,West,California,San Francisco,Office Supplies,Fasteners,17.34,1,0.0,5.6
ORD-2023678,2024-10-27,2024-10-31,Standard Class,CU-10092,Laura Thomas,Consumer,Central,Illinois,Chicago,Office Supplies,Binders,132.2,5,0.1,27.61
ORD-2025647,2023-04-09,2023-04-12,Standard Class,CU-10352,Mary Moore,Corporate,West,Arizona,Phoenix,Office Supplies,Storage,231.62,3,0.15,34.67
ORD-2024741,2024-09-22,2024-09-24,First Class,CU-10226,Ashley Moore,Consumer,West,Washington,Seattle,Office Supplies,Labels,28.88,4,0.15,4.14
ORD-2023064,2022-12-25,2022-12-28,Second Class,CU-10359,Karen Garcia,Consumer,South,Georgia,Atlanta,Furniture,Tables,1858.95,3,0.0,370.6
ORD-2022553,2024-11-15,2024-11-21,Standard Class,CU-10637,John Smith,Home Office,South,Florida,Miami,Office Supplies,Art,31.96,1,0.1,5.81
ORD-2023518,2022-08-28,2022-08-30,First Class,CU-10844,Steven Garcia,Consumer,Central,Texas,Houston,Furniture,Bookcases,334.6,1,0.2,-44.09
ORD-2024256,2024-11-16,2024-11-19,Second Class,CU-10271,Linda Davis,Corporate,East,Massachusetts,Boston,Office Supplies,Labels,6.29,2,0.15,1.17
ORD-2023523,2024-06-02,2024-06-05,Standard Class,CU-10130,Elizabeth Garcia,Home Office,Central,Illinois,Chicago,Furniture,Furnishings,36.72,1,0.1,2.94
ORD-2024625,2023-05-27,2023-05-30,Standard Class,CU-10457,Susan Jones,Consumer,South,Florida,Miami,Office Supplies,Fasteners,37.56,2,0.15,4.37
ORD-2024804,2022-07-08,2022-07-09,First Class,CU-10751,Sandra Johnson,Corporate,East,New York,Buffalo,Office Supplies,Binders,140.96,4,0.0,58.66
ORD-2023680,2024-05-10,2024-05-10,Same Day,CU-10615,James Martin,Corporate,South,Georgia,Atlanta,Office Supplies,Art,233.95,8,0.0,77.7
ORD-2023751,2022-10-18,2022-10-21,Second Class,CU-10831,Linda Thomas,Consumer,South,Georgia,Atlanta,Office Supplies,Supplies,107.12,1,0.1,29.21
ORD-2023603,2024-08-18,2024-08-20,Second Class,CU-10416,Elizabeth Thomas,Home Office,West,Arizona,Phoenix,Technology,Machines,5176.7,4,0.3,-654.11
ORD-2023246,2023-12-05,2023-12-07,Second Class,CU-10714,Michael Rodriguez,Consumer,East,New York,New York City,Furniture,Tables,2611.63,4,0.0,655.32
ORD-2024927,2023-11-23,2023-11-27,Standard Class,CU-10564,John Martin,Consumer,East,Massachusetts,Boston,Furniture,Furnishings,596.9,4,0.15,-62.07
ORD-2022518,2022-01-31,2022-02-02,First Class,CU-10355,Robert Martin,Consumer,West,California,Los Angeles,Technology,Accessories,390.73,3,0.0,88.72
ORD-2022133,2023-01-29,2023-01-31,First Class,CU-10632,Sandra Jones,Consumer,East,Pennsylvania,Philadelphia,Technology,Accessories,563.14,2,0.0,173.87
ORD-2025432,2024-12-24,2024-12-28,Standard Class,CU-10213,David Martin,Consumer,East,New York,Buffalo,Furniture,Furnishings,31.33,1,0.15,-1.59
ORD-2023845,2023-12-12,2023-12-18,Standard Class,CU-10365,Jason Williams,Consumer,East,New York,Buffalo,Technology,Phones,4350.02,7,0.15,459.11
ORD-2022749,2024-09-18,2024-09-19,First Class,CU-10522,Susan Jackson,Consumer,East,New York,New York City,Office Supplies,Paper,19.77,3,0.0,7.01
ORD-2025323,2024-07-30,2024-08-05,Standard Class,CU-10156,David Jackson,Home Office,Central,Michigan,Detroit,Furniture,Furnishings,262.47,3,0.0,30.31
ORD-2024135,2023-10-14,2023-10-21,Standard Class,CU-10712,Robert Lee,Corporate,West,California,Los Angeles,Furniture,Bookcases,1193.47,2,0.4,-615.14
ORD-2024889,2022-07-19,2022-07-22,Standard Class,CU-10586,Susan Taylor,Consumer,East,New York,New York City,Office Supplies,Storage,158.34,1,0.0,49.62
ORD-2023545,2023-04-13,2023-04-20,Standard Class,CU-10542,Patricia Miller,Consumer,West,California,San Francisco,Office Supplies,Paper,10.76,3,0.2,0.55
ORD-2023012,2023-08-07,2023-08-14,Standard Class,CU-10236,Kevin Anderson,Consumer,West,California,Los Angeles,Technology,Machines,2370.54,4,0.1,357.56
ORD-2024102,2024-08-07,2024-08-13,Standard Class,CU-10543,Karen Davis,Consumer,West,California,Los Angeles,Office Supplies,Supplies,496.14,8,0.0,193.82
ORD-2025205,2023-05-18,2023-05-22,Standard Class,CU-10345,James Miller,Corporate,South,Florida,Miami,Office Supplies,Supplies,119.06,2,0.2,17.61
ORD-2023004,2023-12-15,2023-12-15,Same Day,CU-10517,Kevin Martinez,Consumer,East,Massachusetts,Boston,Office Supplies,Storage,434.12,3,0.1,115.15
ORD-2024215,2022-05-24,2022-05-26,First Class,CU-10059,Elizabeth Thomas,Consumer,West,California,Los Angeles,Technology,Copiers,13628.89,5,0.0,3992.37
ORD-2022219,2023-04-21,2023-04-21,Same Day,CU-10363,Jason Taylor,Consumer,West,Washington,Seattle,Furniture,Furnishings,502.77,8,0.2,-83.79
ORD-2022695,2023-10-12,2023-10-15,Second Class,CU-10330,Patricia Lopez,Consumer,West,California,San Francisco,Technology,Machines,4676.99,3,0.4,-1271.01
ORD-2025712,2024-12-28,2024-12-28,Same Day,CU-10501,Susan Anderson,Home Office,East,Massachusetts,Boston,Technology,Phones,2422.97,3,0.3,-270.06
ORD-2022343,2023-11-26,2023-11-28,Second Class,CU-10123,Jason Jackson,Consumer,Central,Texas,Houston,Office Supplies,Binders,89.17,2,0.1,20.12
ORD-2023960,2023-12-07,2023-12-12,Standard Class,CU-10250,Jason Brown,Home Office,Central,Michigan,Detroit,Office Supplies,Supplies,22.81,1,0.0,7.72
ORD-2026286,2024-11-16,2024-11-19,Standard Class,CU-10063,Amy Moore,Corporate,Central,Ohio,Columbus,Technology,Phones,1299.11,2,0.0,208.4
ORD-2025022,2023-08-09,2023-08-14,Standard Class,CU-10806,James Lee,Home Office,West,California,San Francisco,Furniture,Furnishings,51.13,2,0.3,-20.71
ORD-2024849,2023-03-21,2023-03-24,Second Class,CU-10193,Kevin Jackson,Corporate,West,California,Los Angeles,Office Supplies,Fasteners,31.68,6,0.3,-2.02
ORD-2023858,2022-11-21,2022-11-26,Standard Class,CU-10051,Barbara Anderson,Home Office,Central,Ohio,Columbus,Office Supplies,Art,18.38,3,0.15,2.3
ORD-2022331,2022-10-19,2022-10-21,Second Class,CU-10465,Michael Smith,Consumer,West,Arizona,Phoenix,Office Supplies,Binders,235.51,6,0.0,87.29
ORD-2024354,2023-06-01,2023-06-04,Standard Class,CU-10780,Kevin Lee,Consumer,Central,Ohio,Columbus,Furniture,Chairs,1260.66,3,0.1,-26.26
ORD-2023235,2022-06-10,2022-06-16,Standard Class,CU-10159,Barbara Brown,Consumer,East,Pennsylvania,Philadelphia,Furniture,Furnishings,238.96,2,0.0,32.3
ORD-2024481,2022-11-12,2022-11-18,Standard Class,CU-10128,Barbara Brown,Corporate,Central,Michigan,Detroit,Office Supplies,Binders,38.95,3,0.0,14.2
ORD-2025682,2023-05-31,2023-06-02,Second Class,CU-10078,Steven Martinez,Consumer,Central,Michigan,Detroit,Technology,Accessories,398.92,2,0.2,11.8
ORD-2023697,2024-07-22,2024-07-26,Standard Class,CU-10206,Steven Johnson,Consumer,South,Tennessee,Nashville,Furniture,Bookcases,245.29,2,0.1,-3.08
ORD-2025781,2024-09-13,2024-09-20,Standard Class,CU-10281,Sandra Lee,Consumer,Central,Michigan,Detroit,Furniture,Tables,2702.32,3,0.2,-537.03
ORD-2024017,2022-03-05,2022-03-09,Second Class,CU-10843,Ashley Lopez,Consumer,East,New York,Buffalo,Technology,Phones,1265.15,3,0.1,96.14
ORD-2022136,2024-12-12,2024-12-16,Standard Class,CU-10072,Steven Brown,Consumer,West,California,San Francisco,Office Supplies,Art,14.6,2,0.0,3.88
ORD-2024461,2024-01-27,2024-01-29,First Class,CU-10816,Susan Smith,Corporate,West,California,San Francisco,Office Supplies,Binders,145.33,3,0.1,25.2
ORD-2022573,2024-06-13,2024-06-18,Standard Class,CU-10004,James Williams,Corporate,East,Pennsylvania,Philadelphia,Office Supplies,Supplies,514.44,6,0.1,135.77
ORD-2024471,2024-10-13,2024-10-16,Second Class,CU-10808,Laura Brown,Corporate,West,Arizona,Phoenix,Technology,Copiers,4057.91,4,0.0,1073.12
ORD-2023707,2023-05-12,2023-05-19,Standard Class,CU-10132,Nancy Miller,Consumer,West,Washington,Seattle,Furniture,Tables,1211.32,3,0.3,-492.05
ORD-2022794,2022-03-02,2022-03-05,Standard Class,CU-10592,Steven Miller,Corporate,East,New York,New York City,Office Supplies,Fasteners,33.55,6,0.3,1.61
ORD-2025048,2024-11-21,2024-11-26,Standard Class,CU-10083,Ashley Lee,Home Office,West,Washington,Seattle,Furniture,Furnishings,86.91,1,0.2,-12.96
ORD-2026148,2023-06-14,2023-06-18,Standard Class,CU-10203,Amy Davis,Corporate,West,Arizona,Phoenix,Office Supplies,Art,26.21,1,0.1,2.78
ORD-2024313,2022-09-25,2022-09-29,Standard Class,CU-10733,Michael Rodriguez,Corporate,Central,Ohio,Columbus,Furniture,Furnishings,77.74,1,0.2,-11.67
ORD-2026444,2022-06-25,2022-07-01,Standard Class,CU-10567,James Davis,Home Office,South,Florida,Miami,Office Supplies,Binders,105.24,4,0.1,11.93
ORD-2024661,2023-04-19,2023-04-22,Second Class,CU-10536,Elizabeth Jackson,Consumer,East,New York,Buffalo,Technology,Phones,639.61,1,0.1,34.81
ORD-2025091,2024-11-20,2024-11-22,Second Class,CU-10194,David Davis,Consumer,West,California,San Francisco,Technology,Machines,4215.93,2,0.0,979.33
ORD-2023859,2022-11-27,2022-11-30,Second Class,CU-10447,Barbara Taylor,Corporate,West,Arizona,Phoenix,Office Supplies,Storage,1473.17,8,0.15,185.92
ORD-2026457,2023-11-21,2023-11-23,First Class,CU-10690,Ashley Wilson,Consumer,East,Massachusetts,Boston,Office Supplies,Fasteners,23.22,7,0.15,3.57
ORD-2024535,2023-11-22,2023-11-26,Standard Class,CU-10662,Susan Williams,Home Office,West,Arizona,Phoenix,Technology,Copiers,2485.13,1,0.0,449.38
ORD-2025787,2022-07-21,2022-07-23,First Class,CU-10004,James Williams,Corporate,West,Washington,Seattle,Technology,Accessories,116.43,1,0.0,28.22
ORD-2024918,2022-03-09,2022-03-12,Second Class,CU-10848,Robert Anderson,Consumer,Central,Illinois,Chicago,Technology,Phones,309.46,1,0.2,-2.37
ORD-2022891,2024-12-10,2024-12-13,Standard Class,CU-10478,Kevin Moore,Home Office,West,Washington,Seattle,Furniture,Tables,2443.23,4,0.15,-401.94
ORD-2026145,2022-11-23,2022-11-28,Standard Class,CU-10692,Ashley Williams,Consumer,East,Massachusetts,Boston,Office Supplies,Paper,7.68,3,0.2,0.81
ORD-2025263,2023-08-13,2023-08-16,Standard Class,CU-10212,Linda Wilson,Corporate,East,New York,New York City,Technology,Phones,3859.88,6,0.2,208.84
ORD-2022372,2023-03-04,2023-03-08,Standard Class,CU-10827,Linda Martin,Consumer,West,Arizona,Phoenix,Office Supplies,Paper,38.82,5,0.1,7.83
ORD-2023233,2024-01-28,2024-01-28,Same Day,CU-10101,Michael Martin,Consumer,South,North Carolina,Charlotte,Office Supplies,Binders,182.54,4,0.1,23.04
ORD-2024512,2022-07-09,2022-07-13,Second Class,CU-10070,Susan Miller,Consumer,West,California,San Francisco,Technology,Accessories,990.36,4,0.3,-85.04
ORD-2022329,2022-12-10,2022-12-11,First Class,CU-10636,Susan Johnson,Corporate,East,New York,New York City,Furniture,Chairs,2050.71,4,0.2,-455.52
ORD-2023433,2022-09-01,2022-09-02,First Class,CU-10345,James Miller,Consumer,South,Tennessee,Nashville,Office Supplies,Supplies,65.15,1,0.2,-2.39
ORD-2024875,2022-11-02,2022-11-02,Same Day,CU-10839,John Garcia,Corporate,South,Florida,Miami,Office Supplies,Paper,20.99,3,0.15,1.78
ORD-2023117,2024-07-15,2024-07-17,Second Class,CU-10189,Kevin Thomas,Consumer,West,Washington,Seattle,Office Supplies,Supplies,49.35,1,0.0,19.87
ORD-2022913,2024-12-24,2024-12-29,Standard Class,CU-10170,Sandra Brown,Consumer,South,Tennessee,Nashville,Office Supplies,Binders,45.39,1,0.0,16.47
ORD-2022040,2023-06-17,2023-06-23,Standard Class,CU-10646,Mary Jackson,Consumer,Central,Texas,Houston,Furniture,Chairs,1335.25,3,0.2,-241.76
ORD-2024882,2023-11-02,2023-11-05,Standard Class,CU-10629,Susan Lee,Consumer,Central,Illinois,Chicago,Office Supplies,Storage,886.19,4,0.1,226.31
ORD-2022678,2022-07-30,2022-08-01,Second Class,CU-10317,Ashley Hernandez,Consumer,South,Georgia,Atlanta,Furniture,Bookcases,360.91,3,0.2,-53.08
ORD-2024811,2024-10-23,2024-10-25,Second Class,CU-10248,Elizabeth Jackson,Consumer,South,Tennessee,Nashville,Technology,Accessories,223.76,2,0.0,44.92
ORD-2022758,2022-03-29,2022-04-05,Standard Class,CU-10510,John Jones,Home Office,East,New York,New York City,Office Supplies,Labels,8.3,1,0.15,0.99
ORD-2026265,2023-09-23,2023-09-25,First Class,CU-10298,Sandra Moore,Corporate,Central,Michigan,Detroit,Office Supplies,Supplies,307.8,4,0.1,50.0
ORD-2023792,2022-11-02,2022-11-07,Standard Class,CU-10431,Amy Wilson,Consumer,Central,Texas,Houston,Office Supplies,Art,18.81,1,0.15,2.85
ORD-2023565,2023-07-21,2023-07-24,Standard Class,CU-10783,Patricia Davis,Consumer,Central,Michigan,Detroit,Technology,Copiers,3623.47,2,0.0,819.31
ORD-2025402,2023-10-05,2023-10-09,Second Class,CU-10621,Karen Miller,Corporate,South,North Carolina,Charlotte,Office Supplies,Supplies,24.76,2,0.0,9.15
ORD-2025878,2022-02-11,2022-02-14,Standard Class,CU-10672,Ashley Moore,Consumer,Central,Ohio,Columbus,Technology,Accessories,613.75,3,0.15,27.7
ORD-2023748,2023-08-12,2023-08-12,Same Day,CU-10515,Mary Garcia,Consumer,West,California,San Francisco,Technology,Copiers,2088.02,1,0.0,491.55
ORD-2025808,2024-12-01,2024-12-05,Standard Class,CU-10164,David Lopez,Consumer,South,Georgia,Atlanta,Technology,Machines,14900.97,6,0.0,2774.59
ORD-2026279,2024-03-07,2024-03-13,Standard Class,CU-10729,Mary Jones,Home Office,West,California,San Francisco,Technology,Copiers,3737.99,1,0.0,1087.02
ORD-2026249,2024-07-29,2024-08-01,Standard Class,CU-10490,Barbara Smith,Consumer,West,California,San Francisco,Office Supplies,Art,27.5,1,0.1,4.84
ORD-2024984,2022-04-24,2022-04-27,Standard Class,CU-10546,Karen Jones,Corporate,East,Pennsylvania,Philadelphia,Office Supplies,Labels,17.6,2,0.1,2.97
ORD-2024670,2023-12-07,2023-12-12,Standard Class,CU-10375,Linda Lopez,Corporate,South,North Carolina,Charlotte,Furniture,Chairs,725.8,3,0.15,-129.49
ORD-2022662,2022-10-02,2022-10-05,Standard Class,CU-10227,Linda Garcia,Corporate,West,Arizona,Phoenix,Office Supplies,Labels,5.79,2,0.0,1.75
ORD-2022017,2022-04-20,2022-04-26,Standard Class,CU-10528,Ashley Lopez,Corporate,East,New York,Buffalo,Office Supplies,Art,14.28,7,0.1,3.55
ORD-2022190,2024-12-01,2024-12-01,Same Day,CU-10621,Karen Miller,Corporate,East,New York,Buffalo,Office Supplies,Storage,261.62,2,0.0,89.89
ORD-2022418,2022-10-14,2022-10-14,Same Day,CU-10008,Elizabeth Taylor,Consumer,East,Pennsylvania,Philadelphia,Office Supplies,Paper,10.18,2,0.0,4.45
ORD-2022299,2023-12-20,2023-12-24,Standard Class,CU-10176,James Williams,Home Office,South,North Carolina,Charlotte,Office Supplies,Labels,8.94,2,0.1,2.19
ORD-2022420,2023-12-27,2023-12-27,Same Day,CU-10692,Ashley Williams,Corporate,East,New York,New York City,Technology,Phones,406.97,2,0.0,128.58
ORD-2025994,2022-11-14,2022-11-20,Standard Class,CU-10626,Nancy Rodriguez,Corporate,Central,Texas,Houston,Office Supplies,Binders,19.7,1,0.1,4.33
ORD-2023147,2024-07-30,2024-08-03,Standard Class,CU-10069,Jason Lopez,Corporate,West,California,Los Angeles,Office Supplies,Storage,331.2,4,,33.47
